observable,sintetico,base,Q,timestamp,P0910,valor,frac
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,30,0.5892,0.02
P47T_persona,q75,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,0.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,40,0.4059,0.02
P47T_persona,q90,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,28880.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,60,0.1957,0.02
Pobreza,mean,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,0.6385,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,70,0.1575,0.02
Pobreza,sum,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,1053400.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,80,0.0544,0.02
Total,mean,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,1.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,92,0.4219,0.02
Total,sum,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,1649850.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,12,568750.0,0.02
gap_indigencia,mean,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,380470.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,21,1614800.0,0.02
gap_indigencia,median,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,101920.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,31,69600.0,0.02
gap_pobreza,mean,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,97060.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,41,985600.0,0.02
gap_pobreza,median,PAGLO,2003-08-15,2023-10-29 01:35:38.771708,2,-92430.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,61,94800.0,0.02
CBA,mean,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,205130.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,71,53250.0,0.02
CBA,median,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,140240.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,81,17700.0,0.02
CBT,mean,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,488550.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,2,0.1431,0.02
CBT,median,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,336330.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,20,0.1325,0.02
CB_EQUIV,mean,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,4.679,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,30,0.1634,0.02
CB_EQUIV,median,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,3.19,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,40,0.0896,0.02
Indigencia,mean,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,0.3145,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,60,0.0372,0.02
Indigencia,sum,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,518950.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,70,0.0374,0.02
P47T_hogar,mean,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,656040.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,80,0.0147,0.02
P47T_hogar,median,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,246070.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,92,0.1097,0.02
P47T_hogar,q10,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,53810.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,12,150550.0,0.02
P47T_hogar,q25,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,112460.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,21,331100.0,0.02
P47T_hogar,q75,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,438610.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,31,17300.0,0.02
P47T_hogar,q90,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,709720.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,41,162600.0,0.02
P47T_persona,mean,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,14610.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,61,14400.0,0.02
P47T_persona,median,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,0.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,71,10050.0,0.02
P47T_persona,q10,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,0.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,81,4350.0,0.02
P47T_persona,q25,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,0.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,2,25030.0,0.02
P47T_persona,q75,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,0.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,20,61930.0,0.02
P47T_persona,q90,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,39880.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,30,18800.0,0.02
Pobreza,mean,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,0.6534,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,40,109290.0,0.02
Pobreza,sum,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,1078050.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,60,203880.0,0.02
Total,mean,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,1.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,70,209180.0,0.02
Total,sum,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,1649850.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,80,352670.0,0.02
gap_indigencia,mean,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,450910.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,92,119730.0,0.02
gap_indigencia,median,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,93140.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,12,0.0,0.02
gap_pobreza,mean,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,167500.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,21,13490.0,0.02
gap_pobreza,median,PAGLO,2003-11-15,2023-10-29 01:36:46.512970,2,-101030.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,31,0.0,0.02
CBA,mean,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,195930.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,41,0.0,0.02
CBA,median,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,140620.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,61,110670.0,0.02
CBT,mean,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,466350.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,71,174190.0,0.02
CBT,median,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,337420.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,81,52580.0,0.02
CB_EQUIV,mean,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,4.471,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,2,0.0,0.02
CB_EQUIV,median,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,3.19,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,20,0.0,0.02
Indigencia,mean,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,0.2867,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,30,0.0,0.02
Indigencia,sum,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,472750.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,40,0.0,0.02
P47T_hogar,mean,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,548080.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,60,59000.0,0.02
P47T_hogar,median,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,272170.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,70,38970.0,0.02
P47T_hogar,q10,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,52580.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,80,200000.0,0.02
P47T_hogar,q25,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,125670.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,92,0.0,0.02
P47T_hogar,q75,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,479030.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,12,0.0,0.02
P47T_hogar,q90,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,778200.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,21,148260.0,0.02
P47T_persona,mean,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,16460.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,31,77790.0,0.02
P47T_persona,median,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,0.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,41,195450.0,0.02
P47T_persona,q10,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,0.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,61,282530.0,0.02
P47T_persona,q25,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,0.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,71,399090.0,0.02
P47T_persona,q75,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,0.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,81,468900.0,0.02
P47T_persona,q90,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,51380.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,2,0.0,0.02
Pobreza,mean,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,0.623,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,20,109900.0,0.02
Pobreza,sum,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,1027250.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,30,0.0,0.02
Total,mean,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,1.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,40,186650.0,0.02
Total,sum,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,1648850.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,60,324390.0,0.02
gap_indigencia,mean,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,352150.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,70,331940.0,0.02
gap_indigencia,median,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,114860.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,80,427640.0,0.02
gap_pobreza,mean,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,81730.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,92,117760.0,0.02
gap_pobreza,median,PAGLO,2004-02-15,2023-10-29 01:37:57.279055,2,-83360.0,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,12,0.0,0.02
CBA,mean,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,195930.0,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,21,257660.0,0.02
CBA,median,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,140620.0,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,31,186650.0,0.02
CBT,mean,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,466350.0,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,41,339680.0,0.02
CBT,median,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,337420.0,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,61,479820.0,0.02
CB_EQUIV,mean,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,4.471,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,71,563750.0,0.02
CB_EQUIV,median,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,3.19,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,81,935610.0,0.02
Indigencia,mean,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,0.3115,0.02
P47T_hogar,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,2,1073140.0,0.02
Indigencia,sum,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,513600.0,0.02
P47T_hogar,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,20,1947210.0,0.02
P47T_hogar,mean,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,465190.0,0.02
P47T_hogar,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,30,1235710.0,0.02
P47T_hogar,median,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,246760.0,0.02
P47T_hogar,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,40,1479330.0,0.02
P47T_hogar,q10,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,51380.0,0.02
P47T_hogar,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,60,929820.0,0.02
P47T_hogar,q25,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,123310.0,0.02
P47T_hogar,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,70,1464370.0,0.02
P47T_hogar,q75,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,432090.0,0.02
P47T_hogar,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,80,1172870.0,0.02
P47T_hogar,q90,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,668100.0,0.02
P47T_hogar,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,92,935030.0,0.02
P47T_persona,mean,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,12410.0,0.02
P47T_hogar,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,12,144880.0,0.02
P47T_persona,median,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,0.0,0.02
P47T_hogar,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,21,166350.0,0.02
P47T_persona,q10,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,0.0,0.02
P47T_hogar,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,31,118580.0,0.02
P47T_persona,q25,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,0.0,0.02
P47T_hogar,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,41,206150.0,0.02
P47T_persona,q75,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,0.0,0.02
P47T_hogar,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,61,276090.0,0.02
P47T_persona,q90,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,34730.0,0.02
P47T_hogar,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,71,372250.0,0.02
Pobreza,mean,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,0.6644,0.02
P47T_hogar,q10,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,81,181240.0,0.02
Pobreza,sum,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,1095550.0,0.02
P47T_hogar,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,2,219300.0,0.02
Total,mean,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,1.0,0.02
P47T_hogar,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,20,243250.0,0.02
Total,sum,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,1648850.0,0.02
P47T_hogar,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,30,250010.0,0.02
gap_indigencia,mean,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,269270.0,0.02
P47T_hogar,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,40,269810.0,0.02
gap_indigencia,median,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,90010.0,0.02
P47T_hogar,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,60,347590.0,0.02
gap_pobreza,mean,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,-1150.0,0.02
P47T_hogar,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,70,364960.0,0.02
gap_pobreza,median,PAGLO,2004-05-15,2023-10-29 01:39:21.390096,2,-104570.0,0.02
P47T_hogar,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,80,411980.0,0.02
CBA,mean,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,195930.0,0.02
P47T_hogar,q25,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,92,280760.0,0.02
CBA,median,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,140620.0,0.02
P47T_hogar,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,12,390010.0,0.02
CBT,mean,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,466350.0,0.02
P47T_hogar,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,21,393490.0,0.02
CBT,median,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,337420.0,0.02
P47T_hogar,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,31,375420.0,0.02
CB_EQUIV,mean,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,4.471,0.02
P47T_hogar,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,41,489110.0,0.02
CB_EQUIV,median,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,3.19,0.02
P47T_hogar,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,61,605300.0,0.02
Indigencia,mean,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,0.3033,0.02
P47T_hogar,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,71,732780.0,0.02
Indigencia,sum,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,500100.0,0.02
P47T_hogar,median,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,81,825100.0,0.02
P47T_hogar,mean,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,520460.0,0.02
P47T_hogar,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,2,561680.0,0.02
P47T_hogar,median,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,263670.0,0.02
P47T_hogar,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,20,582880.0,0.02
P47T_hogar,q10,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,56350.0,0.02
P47T_hogar,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,30,572000.0,0.02
P47T_hogar,q25,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,126180.0,0.02
P47T_hogar,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,40,642380.0,0.02
P47T_hogar,q75,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,474710.0,0.02
P47T_hogar,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,60,740330.0,0.02
P47T_hogar,q90,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,762720.0,0.02
P47T_hogar,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,70,816780.0,0.02
P47T_persona,mean,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,12900.0,0.02
P47T_hogar,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,80,910940.0,0.02
P47T_persona,median,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,0.0,0.02
P47T_hogar,q75,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,92,705440.0,0.02
P47T_persona,q10,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,0.0,0.02
P47T_hogar,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,12,806210.0,0.02
P47T_persona,q25,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,0.0,0.02
P47T_hogar,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,21,860440.0,0.02
P47T_persona,q75,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,0.0,0.02
P47T_hogar,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,31,855430.0,0.02
P47T_persona,q90,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,33940.0,0.02
P47T_hogar,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,41,966280.0,0.02
Pobreza,mean,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,0.6349,0.02
P47T_hogar,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,61,1119260.0,0.02
Pobreza,sum,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,1046900.0,0.02
P47T_hogar,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,71,1445380.0,0.02
Total,mean,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,1.0,0.02
P47T_hogar,q90,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,81,1820280.0,0.02
Total,sum,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,1648850.0,0.02
CB_EQUIV,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,2,6.06,0.02
gap_indigencia,mean,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,324540.0,0.02
CB_EQUIV,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,20,9.562,0.02
gap_indigencia,median,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,105500.0,0.02
CB_EQUIV,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,30,7.442,0.02
gap_pobreza,mean,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,54120.0,0.02
CB_EQUIV,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,40,7.488,0.02
gap_pobreza,median,PAGLO,2004-08-15,2023-10-29 01:41:05.371023,2,-95080.0,0.02
CB_EQUIV,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,60,4.294,0.02
CBA,mean,PAGLO,2004-11-15,2023-10-29 01:42:47.300646,2,195930.0,0.02
CB_EQUIV,mean,PAGLO,2023-02-15,2023-10-29 13:09:24.494083,70,6.054,0.02
