observable,sintetico,base,Q,timestamp,AGLOMERADO,valor,frac
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,26,62650.0,0.02
Indigencia,mean,H,2003-11-15,2023-10-29 01:37:03.618770,0,0.231,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,29,245400.0,0.02
Indigencia,sum,H,2003-11-15,2023-10-29 01:37:03.618770,0,939300.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,31,47550.0,0.02
P47T_hogar,mean,H,2003-11-15,2023-10-29 01:37:03.618770,0,286710.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,33,3682550.0,0.02
P47T_hogar,median,H,2003-11-15,2023-10-29 01:37:03.618770,0,214310.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,36,58900.0,0.02
P47T_hogar,q10,H,2003-11-15,2023-10-29 01:37:03.618770,0,52580.0,0.02
Total,sum,H,2023-02-15,2023-10-29 13:13:16.579203,91,42050.0,0.02
P47T_hogar,q25,H,2003-11-15,2023-10-29 01:37:03.618770,0,103260.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,0,0.3437,0.02
P47T_hogar,q75,H,2003-11-15,2023-10-29 01:37:03.618770,0,380840.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,3,0.1682,0.02
P47T_hogar,q90,H,2003-11-15,2023-10-29 01:37:03.618770,0,577990.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,5,0.2747,0.02
Pobreza,mean,H,2003-11-15,2023-10-29 01:37:03.618770,0,0.529,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,7,0.3303,0.02
Pobreza,sum,H,2003-11-15,2023-10-29 01:37:03.618770,0,2151100.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,9,0.2021,0.02
Total,mean,H,2003-11-15,2023-10-29 01:37:03.618770,0,1.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,12,0.3301,0.02
Total,sum,H,2003-11-15,2023-10-29 01:37:03.618770,0,4066350.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,14,0.3608,0.02
gap_indigencia,mean,H,2003-11-15,2023-10-29 01:37:03.618770,0,170650.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,17,0.2495,0.02
gap_indigencia,median,H,2003-11-15,2023-10-29 01:37:03.618770,0,112890.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,19,0.3061,0.02
gap_pobreza,mean,H,2003-11-15,2023-10-29 01:37:03.618770,0,9760.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,22,0.2776,0.02
gap_pobreza,median,H,2003-11-15,2023-10-29 01:37:03.618770,0,-14010.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,25,0.4239,0.02
CBA,mean,H,2004-02-15,2023-10-29 01:38:17.371467,0,115990.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,27,0.3849,0.02
CBA,median,H,2004-02-15,2023-10-29 01:38:17.371467,0,106810.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,30,0.1954,0.02
CBT,mean,H,2004-02-15,2023-10-29 01:38:17.371467,0,276810.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,32,0.0888,0.02
CBT,median,H,2004-02-15,2023-10-29 01:38:17.371467,0,254460.0,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,34,0.1884,0.02
CB_EQUIV,mean,H,2004-02-15,2023-10-29 01:38:17.371467,0,2.686,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,38,0.2781,0.02
CB_EQUIV,median,H,2004-02-15,2023-10-29 01:38:17.371467,0,2.46,0.02
Pobreza,mean,H,2023-02-15,2023-10-29 13:13:16.579203,93,0.2125,0.02
Indigencia,mean,H,2004-02-15,2023-10-29 01:38:17.371467,0,0.2169,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,2,59550.0,0.02
Indigencia,sum,H,2004-02-15,2023-10-29 01:38:17.371467,0,891000.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,4,108050.0,0.02
P47T_hogar,mean,H,2004-02-15,2023-10-29 01:38:17.371467,0,311330.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,6,19900.0,0.02
P47T_hogar,median,H,2004-02-15,2023-10-29 01:38:17.371467,0,234980.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,8,46000.0,0.02
P47T_hogar,q10,H,2004-02-15,2023-10-29 01:38:17.371467,0,52580.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,10,93650.0,0.02
P47T_hogar,q25,H,2004-02-15,2023-10-29 01:38:17.371467,0,109900.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,13,123150.0,0.02
P47T_hogar,q75,H,2004-02-15,2023-10-29 01:38:17.371467,0,410530.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,15,25600.0,0.02
P47T_hogar,q90,H,2004-02-15,2023-10-29 01:38:17.371467,0,639370.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,18,37700.0,0.02
Pobreza,mean,H,2004-02-15,2023-10-29 01:38:17.371467,0,0.4977,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,20,7600.0,0.02
Pobreza,sum,H,2004-02-15,2023-10-29 01:38:17.371467,0,2044950.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,23,57200.0,0.02
Total,mean,H,2004-02-15,2023-10-29 01:38:17.371467,0,1.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,26,21100.0,0.02
Total,sum,H,2004-02-15,2023-10-29 01:38:17.371467,0,4108600.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,29,78350.0,0.02
gap_indigencia,mean,H,2004-02-15,2023-10-29 01:38:17.371467,0,195350.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,31,8800.0,0.02
gap_indigencia,median,H,2004-02-15,2023-10-29 01:38:17.371467,0,125670.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,33,1077800.0,0.02
gap_pobreza,mean,H,2004-02-15,2023-10-29 01:38:17.371467,0,34520.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,36,13550.0,0.02
gap_pobreza,median,H,2004-02-15,2023-10-29 01:38:17.371467,0,1385.0,0.02
Pobreza,sum,H,2023-02-15,2023-10-29 13:13:16.579203,91,10450.0,0.02
CBA,mean,H,2004-05-15,2023-10-29 01:39:44.669919,0,115990.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,0,0.0907,0.02
CBA,median,H,2004-05-15,2023-10-29 01:39:44.669919,0,106810.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,3,0.0405,0.02
CBT,mean,H,2004-05-15,2023-10-29 01:39:44.669919,0,276810.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,5,0.0815,0.02
CBT,median,H,2004-05-15,2023-10-29 01:39:44.669919,0,254460.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,7,0.0827,0.02
CB_EQUIV,mean,H,2004-05-15,2023-10-29 01:39:44.669919,0,2.686,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,9,0.0436,0.02
CB_EQUIV,median,H,2004-05-15,2023-10-29 01:39:44.669919,0,2.46,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,12,0.0813,0.02
Indigencia,mean,H,2004-05-15,2023-10-29 01:39:44.669919,0,0.2183,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,14,0.1,0.02
Indigencia,sum,H,2004-05-15,2023-10-29 01:39:44.669919,0,897100.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,17,0.0415,0.02
P47T_hogar,mean,H,2004-05-15,2023-10-29 01:39:44.669919,0,290520.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,19,0.071,0.02
P47T_hogar,median,H,2004-05-15,2023-10-29 01:39:44.669919,0,214310.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,22,0.0653,0.02
P47T_hogar,q10,H,2004-05-15,2023-10-29 01:39:44.669919,0,51380.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,25,0.0856,0.02
P47T_hogar,q25,H,2004-05-15,2023-10-29 01:39:44.669919,0,107640.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,27,0.0839,0.02
P47T_hogar,q75,H,2004-05-15,2023-10-29 01:39:44.669919,0,383440.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,30,0.0442,0.02
P47T_hogar,q90,H,2004-05-15,2023-10-29 01:39:44.669919,0,597770.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,32,0.0218,0.02
Pobreza,mean,H,2004-05-15,2023-10-29 01:39:44.669919,0,0.5176,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,34,0.0382,0.02
Pobreza,sum,H,2004-05-15,2023-10-29 01:39:44.669919,0,2126600.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,38,0.0613,0.02
Total,mean,H,2004-05-15,2023-10-29 01:39:44.669919,0,1.0,0.02
Indigencia,mean,H,2023-02-15,2023-10-29 13:13:16.579203,93,0.0531,0.02
Total,sum,H,2004-05-15,2023-10-29 01:39:44.669919,0,4108600.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,2,14550.0,0.02
gap_indigencia,mean,H,2004-05-15,2023-10-29 01:39:44.669919,0,174530.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,4,27100.0,0.02
gap_indigencia,median,H,2004-05-15,2023-10-29 01:39:44.669919,0,113190.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,6,4950.0,0.02
gap_pobreza,mean,H,2004-05-15,2023-10-29 01:39:44.669919,0,13710.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,8,13000.0,0.02
gap_pobreza,median,H,2004-05-15,2023-10-29 01:39:44.669919,0,-8215.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,10,18150.0,0.02
CBA,mean,H,2004-08-15,2023-10-29 01:41:30.550451,0,115990.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,13,26950.0,0.02
CBA,median,H,2004-08-15,2023-10-29 01:41:30.550451,0,106810.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,15,6700.0,0.02
CBT,mean,H,2004-08-15,2023-10-29 01:41:30.550451,0,276810.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,18,10400.0,0.02
CBT,median,H,2004-08-15,2023-10-29 01:41:30.550451,0,254460.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,20,1550.0,0.02
CB_EQUIV,mean,H,2004-08-15,2023-10-29 01:41:30.550451,0,2.686,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,23,17550.0,0.02
CB_EQUIV,median,H,2004-08-15,2023-10-29 01:41:30.550451,0,2.46,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,26,3750.0,0.02
Indigencia,mean,H,2004-08-15,2023-10-29 01:41:30.550451,0,0.2161,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,29,20150.0,0.02
Indigencia,sum,H,2004-08-15,2023-10-29 01:41:30.550451,0,887750.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,31,1400.0,0.02
P47T_hogar,mean,H,2004-08-15,2023-10-29 01:41:30.550451,0,316350.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,33,252350.0,0.02
P47T_hogar,median,H,2004-08-15,2023-10-29 01:41:30.550451,0,246070.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,36,2800.0,0.02
P47T_hogar,q10,H,2004-08-15,2023-10-29 01:41:30.550451,0,51380.0,0.02
Indigencia,sum,H,2023-02-15,2023-10-29 13:13:16.579203,91,2250.0,0.02
P47T_hogar,q25,H,2004-08-15,2023-10-29 01:41:30.550451,0,109040.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,0,391740.0,0.02
P47T_hogar,q75,H,2004-08-15,2023-10-29 01:41:30.550451,0,426950.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,3,481730.0,0.02
P47T_hogar,q90,H,2004-08-15,2023-10-29 01:41:30.550451,0,641800.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,5,442550.0,0.02
Pobreza,mean,H,2004-08-15,2023-10-29 01:41:30.550451,0,0.4966,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,7,370570.0,0.02
Pobreza,sum,H,2004-08-15,2023-10-29 01:41:30.550451,0,2040150.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,9,676780.0,0.02
Total,mean,H,2004-08-15,2023-10-29 01:41:30.550451,0,1.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,12,387570.0,0.02
Total,sum,H,2004-08-15,2023-10-29 01:41:30.550451,0,4108600.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,14,394420.0,0.02
gap_indigencia,mean,H,2004-08-15,2023-10-29 01:41:30.550451,0,200370.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,17,545070.0,0.02
gap_indigencia,median,H,2004-08-15,2023-10-29 01:41:30.550451,0,130110.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,19,408720.0,0.02
gap_pobreza,mean,H,2004-08-15,2023-10-29 01:41:30.550451,0,39550.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,22,406580.0,0.02
gap_pobreza,median,H,2004-08-15,2023-10-29 01:41:30.550451,0,1040.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,25,374570.0,0.02
CBA,mean,H,2004-11-15,2023-10-29 01:43:10.762477,0,115990.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,27,418500.0,0.02
CBA,median,H,2004-11-15,2023-10-29 01:43:10.762477,0,106810.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,30,492970.0,0.02
CBT,mean,H,2004-11-15,2023-10-29 01:43:10.762477,0,276810.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,32,595130.0,0.02
CBT,median,H,2004-11-15,2023-10-29 01:43:10.762477,0,254460.0,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,34,467310.0,0.02
CB_EQUIV,mean,H,2004-11-15,2023-10-29 01:43:10.762477,0,2.686,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,38,452880.0,0.02
CB_EQUIV,median,H,2004-11-15,2023-10-29 01:43:10.762477,0,2.46,0.02
P47T_hogar,mean,H,2023-02-15,2023-10-29 13:13:16.579203,93,516620.0,0.02
Indigencia,mean,H,2004-11-15,2023-10-29 01:43:10.762477,0,0.1937,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,2,144880.0,0.02
Indigencia,sum,H,2004-11-15,2023-10-29 01:43:10.762477,0,795700.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,4,144880.0,0.02
P47T_hogar,mean,H,2004-11-15,2023-10-29 01:43:10.762477,0,319560.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,6,160270.0,0.02
P47T_hogar,median,H,2004-11-15,2023-10-29 01:43:10.762477,0,234990.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,8,102560.0,0.02
P47T_hogar,q10,H,2004-11-15,2023-10-29 01:43:10.762477,0,52580.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,10,162560.0,0.02
P47T_hogar,q25,H,2004-11-15,2023-10-29 01:43:10.762477,0,115080.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,13,154090.0,0.02
P47T_hogar,q75,H,2004-11-15,2023-10-29 01:43:10.762477,0,411490.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,15,112240.0,0.02
P47T_hogar,q90,H,2004-11-15,2023-10-29 01:43:10.762477,0,622800.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,18,117760.0,0.02
Pobreza,mean,H,2004-11-15,2023-10-29 01:43:10.762477,0,0.4825,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,20,204660.0,0.02
Pobreza,sum,H,2004-11-15,2023-10-29 01:43:10.762477,0,1982250.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,23,126180.0,0.02
Total,mean,H,2004-11-15,2023-10-29 01:43:10.762477,0,1.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,26,135210.0,0.02
Total,sum,H,2004-11-15,2023-10-29 01:43:10.762477,0,4108600.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,29,126180.0,0.02
gap_indigencia,mean,H,2004-11-15,2023-10-29 01:43:10.762477,0,203570.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,31,234990.0,0.02
gap_indigencia,median,H,2004-11-15,2023-10-29 01:43:10.762477,0,131625.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,33,144880.0,0.02
gap_pobreza,mean,H,2004-11-15,2023-10-29 01:43:10.762477,0,42750.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,36,141580.0,0.02
gap_pobreza,median,H,2004-11-15,2023-10-29 01:43:10.762477,0,7870.0,0.02
P47T_hogar,q10,H,2023-02-15,2023-10-29 13:13:16.579203,91,174190.0,0.02
CBA,mean,H,2005-02-15,2023-10-29 01:45:06.562781,0,116140.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,0,195450.0,0.02
CBA,median,H,2005-02-15,2023-10-29 01:45:06.562781,0,106360.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,3,257660.0,0.02
CBT,mean,H,2005-02-15,2023-10-29 01:45:06.562781,0,277240.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,5,214260.0,0.02
CBT,median,H,2005-02-15,2023-10-29 01:45:06.562781,0,253410.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,7,195880.0,0.02
CB_EQUIV,mean,H,2005-02-15,2023-10-29 01:45:06.562781,0,2.689,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,9,337540.0,0.02
CB_EQUIV,median,H,2005-02-15,2023-10-29 01:45:06.562781,0,2.46,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,12,195920.0,0.02
Indigencia,mean,H,2005-02-15,2023-10-29 01:45:06.562781,0,0.1771,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,14,210710.0,0.02
Indigencia,sum,H,2005-02-15,2023-10-29 01:45:06.562781,0,735800.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,17,309790.0,0.02
P47T_hogar,mean,H,2005-02-15,2023-10-29 01:45:06.562781,0,354460.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,19,209430.0,0.02
P47T_hogar,median,H,2005-02-15,2023-10-29 01:45:06.562781,0,271300.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,22,216370.0,0.02
P47T_hogar,q10,H,2005-02-15,2023-10-29 01:45:06.562781,0,57190.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,25,200000.0,0.02
P47T_hogar,q25,H,2005-02-15,2023-10-29 01:45:06.562781,0,139700.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,27,216540.0,0.02
P47T_hogar,q75,H,2005-02-15,2023-10-29 01:45:06.562781,0,484910.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,30,264680.0,0.02
P47T_hogar,q90,H,2005-02-15,2023-10-29 01:45:06.562781,0,712130.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,32,289110.0,0.02
Pobreza,mean,H,2005-02-15,2023-10-29 01:45:06.562781,0,0.4223,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,34,257660.0,0.02
Pobreza,sum,H,2005-02-15,2023-10-29 01:45:06.562781,0,1754450.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,38,241390.0,0.02
Total,mean,H,2005-02-15,2023-10-29 01:45:06.562781,0,1.0,0.02
P47T_hogar,q25,H,2023-02-15,2023-10-29 13:13:16.579203,93,282530.0,0.02
Total,sum,H,2005-02-15,2023-10-29 01:45:06.562781,0,4154550.0,0.02
P47T_hogar,median,H,2023-02-15,2023-10-29 13:13:16.579203,2,408390.0,0.02
gap_indigencia,mean,H,2005-02-15,2023-10-29 01:45:06.562781,0,238330.0,0.02
P47T_hogar,median,H,2023-02-15,2023-10-29 13:13:16.579203,4,390010.0,0.02
gap_indigencia,median,H,2005-02-15,2023-10-29 01:45:06.562781,0,164360.0,0.02
P47T_hogar,median,H,2023-02-15,2023-10-29 13:13:16.579203,6,414670.0,0.02
gap_pobreza,mean,H,2005-02-15,2023-10-29 01:45:06.562781,0,77220.0,0.02
P47T_hogar,median,H,2023-02-15,2023-10-29 13:13:16.579203,8,295840.0,0.02
gap_pobreza,median,H,2005-02-15,2023-10-29 01:45:06.562781,0,40480.0,0.02
P47T_hogar,median,H,2023-02-15,2023-10-29 13:13:16.579203,10,373300.0,0.02
CBA,mean,H,2005-05-15,2023-10-29 01:47:39.911655,0,116140.0,0.02
