observable,sintetico,base,Q,timestamp,P0910,valor,frac
CB_EQUIV,median,P,2003-11-15,2023-10-29 01:36:36.304460,2,3.24,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:07:44.391843,40,0.1018,0.02
Indigencia,mean,P,2003-11-15,2023-10-29 01:36:36.304460,2,0.3752,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:07:44.391843,60,0.0454,0.02
Indigencia,sum,P,2003-11-15,2023-10-29 01:36:36.304460,2,1099000.0,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:07:44.391843,70,0.0396,0.02
P47T_hogar,mean,P,2003-11-15,2023-10-29 01:36:36.304460,2,526360.0,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:07:44.391843,80,0.0135,0.02
P47T_hogar,median,P,2003-11-15,2023-10-29 01:36:36.304460,2,214310.0,0.02
Indigencia,mean,P,2023-02-15,2023-10-29 13:07:44.391843,92,0.1323,0.02
P47T_hogar,q10,P,2003-11-15,2023-10-29 01:36:36.304460,2,35540.0,0.02
Indigencia,sum,P,2023-02-15,2023-10-29 13:07:44.391843,12,276000.0,0.02
P47T_hogar,q25,P,2003-11-15,2023-10-29 01:36:36.304460,2,89680.0,0.02
Indigencia,sum,P,2023-02-15,2023-10-29 13:07:44.391843,21,661300.0,0.02
P47T_hogar,q75,P,2003-11-15,2023-10-29 01:36:36.304460,2,378780.0,0.02
Indigencia,sum,P,2023-02-15,2023-10-29 13:07:44.391843,31,33200.0,0.02
P47T_hogar,q90,P,2003-11-15,2023-10-29 01:36:36.304460,2,619570.0,0.02
Indigencia,sum,P,2023-02-15,2023-10-29 13:07:44.391843,41,258950.0,0.02
P47T_persona,mean,P,2003-11-15,2023-10-29 01:36:36.304460,2,16550.0,0.02
Indigencia,sum,P,2023-02-15,2023-10-29 13:07:44.391843,61,24950.0,0.02
P47T_persona,median,P,2003-11-15,2023-10-29 01:36:36.304460,2,0.0,0.02
Indigencia,sum,P,2023-02-15,2023-10-29 13:07:44.391843,71,13200.0,0.02
P47T_persona,q10,P,2003-11-15,2023-10-29 01:36:36.304460,2,0.0,0.02
Indigencia,sum,P,2023-02-15,2023-10-29 13:07:44.391843,81,4400.0,0.02
P47T_persona,q25,P,2003-11-15,2023-10-29 01:36:36.304460,2,0.0,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:07:44.391843,2,28500.0,0.02
P47T_persona,q75,P,2003-11-15,2023-10-29 01:36:36.304460,2,0.0,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:07:44.391843,20,65190.0,0.02
P47T_persona,q90,P,2003-11-15,2023-10-29 01:36:36.304460,2,53810.0,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:07:44.391843,30,18840.0,0.02
Pobreza,mean,P,2003-11-15,2023-10-29 01:36:36.304460,2,0.7098,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:07:44.391843,40,103580.0,0.02
Pobreza,sum,P,2003-11-15,2023-10-29 01:36:36.304460,2,2079050.0,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:07:44.391843,60,185540.0,0.02
Total,mean,P,2003-11-15,2023-10-29 01:36:36.304460,2,1.0,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:07:44.391843,70,202150.0,0.02
Total,sum,P,2003-11-15,2023-10-29 01:36:36.304460,2,2929150.0,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:07:44.391843,80,347960.0,0.02
gap_indigencia,mean,P,2003-11-15,2023-10-29 01:36:36.304460,2,335520.0,0.02
P47T_persona,mean,P,2023-02-15,2023-10-29 13:07:44.391843,92,107000.0,0.02
gap_indigencia,median,P,2003-11-15,2023-10-29 01:36:36.304460,2,58410.0,0.02
P47T_persona,q10,P,2023-02-15,2023-10-29 13:07:44.391843,12,0.0,0.02
gap_pobreza,mean,P,2003-11-15,2023-10-29 01:36:36.304460,2,73160.0,0.02
P47T_persona,q10,P,2023-02-15,2023-10-29 13:07:44.391843,21,3870.0,0.02
gap_pobreza,median,P,2003-11-15,2023-10-29 01:36:36.304460,2,-129950.0,0.02
P47T_persona,q10,P,2023-02-15,2023-10-29 13:07:44.391843,31,0.0,0.02
CBA,mean,P,2004-02-15,2023-10-29 01:37:47.028154,2,181120.0,0.02
P47T_persona,q10,P,2023-02-15,2023-10-29 13:07:44.391843,41,0.0,0.02
CBA,median,P,2004-02-15,2023-10-29 01:37:47.028154,2,139610.0,0.02
P47T_persona,q10,P,2023-02-15,2023-10-29 13:07:44.391843,61,107390.0,0.02
CBT,mean,P,2004-02-15,2023-10-29 01:37:47.028154,2,430110.0,0.02
P47T_persona,q10,P,2023-02-15,2023-10-29 13:07:44.391843,71,174190.0,0.02
CBT,median,P,2004-02-15,2023-10-29 01:37:47.028154,2,333060.0,0.02
P47T_persona,q10,P,2023-02-15,2023-10-29 13:07:44.391843,81,52580.0,0.02
CB_EQUIV,mean,P,2004-02-15,2023-10-29 01:37:47.028154,2,4.185,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:07:44.391843,2,0.0,0.02
CB_EQUIV,median,P,2004-02-15,2023-10-29 01:37:47.028154,2,3.24,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:07:44.391843,20,0.0,0.02
Indigencia,mean,P,2004-02-15,2023-10-29 01:37:47.028154,2,0.3502,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:07:44.391843,30,0.0,0.02
Indigencia,sum,P,2004-02-15,2023-10-29 01:37:47.028154,2,1029500.0,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:07:44.391843,40,0.0,0.02
P47T_hogar,mean,P,2004-02-15,2023-10-29 01:37:47.028154,2,427700.0,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:07:44.391843,60,11750.0,0.02
P47T_hogar,median,P,2004-02-15,2023-10-29 01:37:47.028154,2,229640.0,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:07:44.391843,70,14130.0,0.02
P47T_hogar,q10,P,2004-02-15,2023-10-29 01:37:47.028154,2,45790.0,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:07:44.391843,80,186650.0,0.02
P47T_hogar,q25,P,2004-02-15,2023-10-29 01:37:47.028154,2,100220.0,0.02
P47T_persona,q25,P,2023-02-15,2023-10-29 13:07:44.391843,92,0.0,0.02
P47T_hogar,q75,P,2004-02-15,2023-10-29 01:37:47.028154,2,415290.0,0.02
P47T_persona,median,P,2023-02-15,2023-10-29 13:07:44.391843,12,0.0,0.02
P47T_hogar,q90,P,2004-02-15,2023-10-29 01:37:47.028154,2,682250.0,0.02
P47T_persona,median,P,2023-02-15,2023-10-29 13:07:44.391843,21,144880.0,0.02
P47T_persona,mean,P,2004-02-15,2023-10-29 01:37:47.028154,2,17320.0,0.02
P47T_persona,median,P,2023-02-15,2023-10-29 13:07:44.391843,31,76020.0,0.02
P47T_persona,median,P,2004-02-15,2023-10-29 01:37:47.028154,2,0.0,0.02
P47T_persona,median,P,2023-02-15,2023-10-29 13:07:44.391843,41,195450.0,0.02
P47T_persona,q10,P,2004-02-15,2023-10-29 01:37:47.028154,2,0.0,0.02
P47T_persona,median,P,2023-02-15,2023-10-29 13:07:44.391843,61,276090.0,0.02
P47T_persona,q25,P,2004-02-15,2023-10-29 01:37:47.028154,2,0.0,0.02
P47T_persona,median,P,2023-02-15,2023-10-29 13:07:44.391843,71,390010.0,0.02
P47T_persona,q75,P,2004-02-15,2023-10-29 01:37:47.028154,2,0.0,0.02
P47T_persona,median,P,2023-02-15,2023-10-29 13:07:44.391843,81,491000.0,0.02
P47T_persona,q90,P,2004-02-15,2023-10-29 01:37:47.028154,2,61780.0,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:07:44.391843,2,0.0,0.02
Pobreza,mean,P,2004-02-15,2023-10-29 01:37:47.028154,2,0.6775,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:07:44.391843,20,117760.0,0.02
Pobreza,sum,P,2004-02-15,2023-10-29 01:37:47.028154,2,1991550.0,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:07:44.391843,30,0.0,0.02
Total,mean,P,2004-02-15,2023-10-29 01:37:47.028154,2,1.0,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:07:44.391843,40,178250.0,0.02
Total,sum,P,2004-02-15,2023-10-29 01:37:47.028154,2,2939400.0,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:07:44.391843,60,309790.0,0.02
gap_indigencia,mean,P,2004-02-15,2023-10-29 01:37:47.028154,2,246580.0,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:07:44.391843,70,324390.0,0.02
gap_indigencia,median,P,2004-02-15,2023-10-29 01:37:47.028154,2,74680.0,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:07:44.391843,80,427640.0,0.02
gap_pobreza,mean,P,2004-02-15,2023-10-29 01:37:47.028154,2,-2410.0,0.02
P47T_persona,q75,P,2023-02-15,2023-10-29 13:07:44.391843,92,107390.0,0.02
gap_pobreza,median,P,2004-02-15,2023-10-29 01:37:47.028154,2,-115300.0,0.02
P47T_persona,q90,P,2023-02-15,2023-10-29 13:07:44.391843,12,0.0,0.02
CBA,mean,P,2004-05-15,2023-10-29 01:39:09.974407,2,181120.0,0.02
P47T_persona,q90,P,2023-02-15,2023-10-29 13:07:44.391843,21,263670.0,0.02
CBA,median,P,2004-05-15,2023-10-29 01:39:09.974407,2,139610.0,0.02
P47T_persona,q90,P,2023-02-15,2023-10-29 13:07:44.391843,31,178250.0,0.02
CBT,mean,P,2004-05-15,2023-10-29 01:39:09.974407,2,430110.0,0.02
P47T_persona,q90,P,2023-02-15,2023-10-29 13:07:44.391843,41,339680.0,0.02
CBT,median,P,2004-05-15,2023-10-29 01:39:09.974407,2,333060.0,0.02
P47T_persona,q90,P,2023-02-15,2023-10-29 13:07:44.391843,61,479820.0,0.02
CB_EQUIV,mean,P,2004-05-15,2023-10-29 01:39:09.974407,2,4.185,0.02
P47T_persona,q90,P,2023-02-15,2023-10-29 13:07:44.391843,71,538370.0,0.02
CB_EQUIV,median,P,2004-05-15,2023-10-29 01:39:09.974407,2,3.24,0.02
P47T_persona,q90,P,2023-02-15,2023-10-29 13:07:44.391843,81,979700.0,0.02
Indigencia,mean,P,2004-05-15,2023-10-29 01:39:09.974407,2,0.3672,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:07:44.391843,2,802330.0,0.02
Indigencia,sum,P,2004-05-15,2023-10-29 01:39:09.974407,2,1079450.0,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:07:44.391843,20,1272540.0,0.02
P47T_hogar,mean,P,2004-05-15,2023-10-29 01:39:09.974407,2,370740.0,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:07:44.391843,30,916010.0,0.02
P47T_hogar,median,P,2004-05-15,2023-10-29 01:39:09.974407,2,206630.0,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:07:44.391843,40,1170890.0,0.02
P47T_hogar,q10,P,2004-05-15,2023-10-29 01:39:09.974407,2,37220.0,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:07:44.391843,60,842090.0,0.02
P47T_hogar,q25,P,2004-05-15,2023-10-29 01:39:09.974407,2,100220.0,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:07:44.391843,70,1308250.0,0.02
P47T_hogar,q75,P,2004-05-15,2023-10-29 01:39:09.974407,2,378820.0,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:07:44.391843,80,1168990.0,0.02
P47T_hogar,q90,P,2004-05-15,2023-10-29 01:39:09.974407,2,603050.0,0.02
P47T_hogar,mean,P,2023-02-15,2023-10-29 13:07:44.391843,92,771980.0,0.02
P47T_persona,mean,P,2004-05-15,2023-10-29 01:39:09.974407,2,13520.0,0.02
P47T_hogar,q10,P,2023-02-15,2023-10-29 13:07:44.391843,12,135210.0,0.02
P47T_persona,median,P,2004-05-15,2023-10-29 01:39:09.974407,2,0.0,0.02
P47T_hogar,q10,P,2023-02-15,2023-10-29 13:07:44.391843,21,154650.0,0.02
P47T_persona,q10,P,2004-05-15,2023-10-29 01:39:09.974407,2,0.0,0.02
P47T_hogar,q10,P,2023-02-15,2023-10-29 13:07:44.391843,31,117760.0,0.02
P47T_persona,q25,P,2004-05-15,2023-10-29 01:39:09.974407,2,0.0,0.02
P47T_hogar,q10,P,2023-02-15,2023-10-29 13:07:44.391843,41,198740.0,0.02
P47T_persona,q75,P,2004-05-15,2023-10-29 01:39:09.974407,2,0.0,0.02
P47T_hogar,q10,P,2023-02-15,2023-10-29 13:07:44.391843,61,269810.0,0.02
P47T_persona,q90,P,2004-05-15,2023-10-29 01:39:09.974407,2,51380.0,0.02
P47T_hogar,q10,P,2023-02-15,2023-10-29 13:07:44.391843,71,363520.0,0.02
Pobreza,mean,P,2004-05-15,2023-10-29 01:39:09.974407,2,0.7117,0.02
P47T_hogar,q10,P,2023-02-15,2023-10-29 13:07:44.391843,81,195450.0,0.02
Pobreza,sum,P,2004-05-15,2023-10-29 01:39:09.974407,2,2091950.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:07:44.391843,2,204320.0,0.02
Total,mean,P,2004-05-15,2023-10-29 01:39:09.974407,2,1.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:07:44.391843,20,219620.0,0.02
Total,sum,P,2004-05-15,2023-10-29 01:39:09.974407,2,2939400.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:07:44.391843,30,231480.0,0.02
gap_indigencia,mean,P,2004-05-15,2023-10-29 01:39:09.974407,2,189620.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:07:44.391843,40,263670.0,0.02
gap_indigencia,median,P,2004-05-15,2023-10-29 01:39:09.974407,2,59745.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:07:44.391843,60,329200.0,0.02
gap_pobreza,mean,P,2004-05-15,2023-10-29 01:39:09.974407,2,-59370.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:07:44.391843,70,355690.0,0.02
gap_pobreza,median,P,2004-05-15,2023-10-29 01:39:09.974407,2,-130710.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:07:44.391843,80,409430.0,0.02
CBA,mean,P,2004-08-15,2023-10-29 01:40:51.225532,2,181120.0,0.02
P47T_hogar,q25,P,2023-02-15,2023-10-29 13:07:44.391843,92,263670.0,0.02
CBA,median,P,2004-08-15,2023-10-29 01:40:51.225532,2,139610.0,0.02
P47T_hogar,median,P,2023-02-15,2023-10-29 13:07:44.391843,12,363970.0,0.02
CBT,mean,P,2004-08-15,2023-10-29 01:40:51.225532,2,430110.0,0.02
P47T_hogar,median,P,2023-02-15,2023-10-29 13:07:44.391843,21,373620.0,0.02
CBT,median,P,2004-08-15,2023-10-29 01:40:51.225532,2,333060.0,0.02
P47T_hogar,median,P,2023-02-15,2023-10-29 13:07:44.391843,31,357960.0,0.02
CB_EQUIV,mean,P,2004-08-15,2023-10-29 01:40:51.225532,2,4.185,0.02
P47T_hogar,median,P,2023-02-15,2023-10-29 13:07:44.391843,41,474860.0,0.02
CB_EQUIV,median,P,2004-08-15,2023-10-29 01:40:51.225532,2,3.24,0.02
P47T_hogar,median,P,2023-02-15,2023-10-29 13:07:44.391843,61,588050.0,0.02
Indigencia,mean,P,2004-08-15,2023-10-29 01:40:51.225532,2,0.3599,0.02
P47T_hogar,median,P,2023-02-15,2023-10-29 13:07:44.391843,71,718440.0,0.02
Indigencia,sum,P,2004-08-15,2023-10-29 01:40:51.225532,2,1057750.0,0.02
P47T_hogar,median,P,2023-02-15,2023-10-29 13:07:44.391843,81,852420.0,0.02
P47T_hogar,mean,P,2004-08-15,2023-10-29 01:40:51.225532,2,413290.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:07:44.391843,2,522160.0,0.02
P47T_hogar,median,P,2004-08-15,2023-10-29 01:40:51.225532,2,227260.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:07:44.391843,20,538170.0,0.02
P47T_hogar,q10,P,2004-08-15,2023-10-29 01:40:51.225532,2,46860.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:07:44.391843,30,539620.0,0.02
P47T_hogar,q25,P,2004-08-15,2023-10-29 01:40:51.225532,2,102560.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:07:44.391843,40,615500.0,0.02
P47T_hogar,q75,P,2004-08-15,2023-10-29 01:40:51.225532,2,411690.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:07:44.391843,60,710660.0,0.02
P47T_hogar,q90,P,2004-08-15,2023-10-29 01:40:51.225532,2,670070.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:07:44.391843,70,793730.0,0.02
P47T_persona,mean,P,2004-08-15,2023-10-29 01:40:51.225532,2,14840.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:07:44.391843,80,904940.0,0.02
P47T_persona,median,P,2004-08-15,2023-10-29 01:40:51.225532,2,0.0,0.02
P47T_hogar,q75,P,2023-02-15,2023-10-29 13:07:44.391843,92,666080.0,0.02
P47T_persona,q10,P,2004-08-15,2023-10-29 01:40:51.225532,2,0.0,0.02
P47T_hogar,q90,P,2023-02-15,2023-10-29 13:07:44.391843,12,768100.0,0.02
P47T_persona,q25,P,2004-08-15,2023-10-29 01:40:51.225532,2,0.0,0.02
P47T_hogar,q90,P,2023-02-15,2023-10-29 13:07:44.391843,21,809200.0,0.02
P47T_persona,q75,P,2004-08-15,2023-10-29 01:40:51.225532,2,0.0,0.02
P47T_hogar,q90,P,2023-02-15,2023-10-29 13:07:44.391843,31,806460.0,0.02
P47T_persona,q90,P,2004-08-15,2023-10-29 01:40:51.225532,2,53810.0,0.02
P47T_hogar,q90,P,2023-02-15,2023-10-29 13:07:44.391843,41,931120.0,0.02
Pobreza,mean,P,2004-08-15,2023-10-29 01:40:51.225532,2,0.6855,0.02
P47T_hogar,q90,P,2023-02-15,2023-10-29 13:07:44.391843,61,1062750.0,0.02
Pobreza,sum,P,2004-08-15,2023-10-29 01:40:51.225532,2,2015000.0,0.02
P47T_hogar,q90,P,2023-02-15,2023-10-29 13:07:44.391843,71,1403050.0,0.02
Total,mean,P,2004-08-15,2023-10-29 01:40:51.225532,2,1.0,0.02
P47T_hogar,q90,P,2023-02-15,2023-10-29 13:07:44.391843,81,1846800.0,0.02
Total,sum,P,2004-08-15,2023-10-29 01:40:51.225532,2,2939400.0,0.02
CB_EQUIV,mean,P,2023-02-15,2023-10-29 13:07:44.391843,2,5.185,0.02
gap_indigencia,mean,P,2004-08-15,2023-10-29 01:40:51.225532,2,232180.0,0.02
CB_EQUIV,mean,P,2023-02-15,2023-10-29 13:07:44.391843,20,7.349,0.02
gap_indigencia,median,P,2004-08-15,2023-10-29 01:40:51.225532,2,71040.0,0.02
CB_EQUIV,mean,P,2023-02-15,2023-10-29 13:07:44.391843,30,7.038,0.02
gap_pobreza,mean,P,2004-08-15,2023-10-29 01:40:51.225532,2,-16820.0,0.02
CB_EQUIV,mean,P,2023-02-15,2023-10-29 13:07:44.391843,40,6.876,0.02
gap_pobreza,median,P,2004-08-15,2023-10-29 01:40:51.225532,2,-121850.0,0.02
CB_EQUIV,mean,P,2023-02-15,2023-10-29 13:07:44.391843,60,4.219,0.02
CBA,mean,P,2004-11-15,2023-10-29 01:42:33.141119,2,181120.0,0.02
CB_EQUIV,mean,P,2023-02-15,2023-10-29 13:07:44.391843,70,5.56,0.02
CBA,median,P,2004-11-15,2023-10-29 01:42:33.141119,2,139610.0,0.02
CB_EQUIV,mean,P,2023-02-15,2023-10-29 13:07:44.391843,80,3.395,0.02
CBT,mean,P,2004-11-15,2023-10-29 01:42:33.141119,2,430110.0,0.02
CB_EQUIV,mean,P,2023-02-15,2023-10-29 13:07:44.391843,92,4.676,0.02
CBT,median,P,2004-11-15,2023-10-29 01:42:33.141119,2,333060.0,0.02
CB_EQUIV,median,P,2023-02-15,2023-10-29 13:07:44.391843,12,3.26,0.02
CB_EQUIV,mean,P,2004-11-15,2023-10-29 01:42:33.141119,2,4.185,0.02
CB_EQUIV,median,P,2023-02-15,2023-10-29 13:07:44.391843,21,3.09,0.02
CB_EQUIV,median,P,2004-11-15,2023-10-29 01:42:33.141119,2,3.24,0.02
CB_EQUIV,median,P,2023-02-15,2023-10-29 13:07:44.391843,31,3.8,0.02
Indigencia,mean,P,2004-11-15,2023-10-29 01:42:33.141119,2,0.3363,0.02
CB_EQUIV,median,P,2023-02-15,2023-10-29 13:07:44.391843,41,2.9,0.02
Indigencia,sum,P,2004-11-15,2023-10-29 01:42:33.141119,2,988400.0,0.02
CB_EQUIV,median,P,2023-02-15,2023-10-29 13:07:44.391843,61,2.62,0.02
P47T_hogar,mean,P,2004-11-15,2023-10-29 01:42:33.141119,2,436840.0,0.02
CB_EQUIV,median,P,2023-02-15,2023-10-29 13:07:44.391843,71,2.5,0.02
P47T_hogar,median,P,2004-11-15,2023-10-29 01:42:33.141119,2,229640.0,0.02
CB_EQUIV,median,P,2023-02-15,2023-10-29 13:07:44.391843,81,2.37,0.02
P47T_hogar,q10,P,2004-11-15,2023-10-29 01:42:33.141119,2,50210.0,0.02
CBA,mean,P,2023-02-15,2023-10-29 13:07:44.391843,2,251630.0,0.02
P47T_hogar,q25,P,2004-11-15,2023-10-29 01:42:33.141119,2,108480.0,0.02
CBA,mean,P,2023-02-15,2023-10-29 13:07:44.391843,20,359780.0,0.02
P47T_hogar,q75,P,2004-11-15,2023-10-29 01:42:33.141119,2,408390.0,0.02
CBA,mean,P,2023-02-15,2023-10-29 13:07:44.391843,30,339860.0,0.02
