observable,sintetico,base,Q,timestamp,AGLOMERADO,valor,frac
CB_EQUIV,median,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,2.97,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,26,21100.0,0.02
Indigencia,mean,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,0.4367,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,29,78350.0,0.02
Indigencia,sum,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,939300.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,31,8800.0,0.02
P47T_hogar,mean,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,151020.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,33,1077800.0,0.02
P47T_hogar,median,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,124750.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,36,13550.0,0.02
P47T_hogar,q10,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,0.0,0.02
Total,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,91,10450.0,0.02
P47T_hogar,q25,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,56350.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,0,1.0,0.02
P47T_hogar,q75,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,225290.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,3,1.0,0.02
P47T_hogar,q90,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,313060.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,5,1.0,0.02
Pobreza,mean,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,1.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,7,1.0,0.02
Pobreza,sum,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,2151100.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,9,1.0,0.02
Total,mean,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,1.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,12,1.0,0.02
Total,sum,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,2151100.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,14,1.0,0.02
gap_indigencia,mean,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,14900.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,17,1.0,0.02
gap_indigencia,median,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,16515.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,19,1.0,0.02
gap_pobreza,mean,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,-171880.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,22,1.0,0.02
gap_pobreza,median,Hp,2003-11-15,2023-10-29 01:37:12.324297,0,-138535.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,25,1.0,0.02
CBA,mean,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,136650.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,27,1.0,0.02
CBA,median,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,127670.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,30,1.0,0.02
CBT,mean,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,323500.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,32,1.0,0.02
CBT,median,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,300970.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,34,1.0,0.02
CB_EQUIV,mean,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,3.202,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,38,1.0,0.02
CB_EQUIV,median,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,3.0,0.02
Pobreza,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,93,1.0,0.02
Indigencia,mean,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,0.4357,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,2,59550.0,0.02
Indigencia,sum,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,891000.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,4,108050.0,0.02
P47T_hogar,mean,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,152230.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,6,19900.0,0.02
P47T_hogar,median,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,120500.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,8,46000.0,0.02
P47T_hogar,q10,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,0.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,10,93650.0,0.02
P47T_hogar,q25,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,64700.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,13,123150.0,0.02
P47T_hogar,q75,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,225290.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,15,25600.0,0.02
P47T_hogar,q90,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,318730.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,18,37700.0,0.02
Pobreza,mean,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,1.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,20,7600.0,0.02
Pobreza,sum,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,2044950.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,23,57200.0,0.02
Total,mean,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,1.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,26,21100.0,0.02
Total,sum,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,2044950.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,29,78350.0,0.02
gap_indigencia,mean,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,15580.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,31,8800.0,0.02
gap_indigencia,median,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,15940.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,33,1077800.0,0.02
gap_pobreza,mean,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,-171270.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,36,13550.0,0.02
gap_pobreza,median,Hp,2004-02-15,2023-10-29 01:38:28.560852,0,-137920.0,0.02
Pobreza,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,91,10450.0,0.02
CBA,mean,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,136680.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,0,0.264,0.02
CBA,median,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,127550.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,3,0.2408,0.02
CBT,mean,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,323890.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,5,0.2966,0.02
CBT,median,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,300970.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,7,0.2504,0.02
CB_EQUIV,mean,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,3.199,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,9,0.2159,0.02
CB_EQUIV,median,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,2.99,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,12,0.2462,0.02
Indigencia,mean,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,0.4218,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,14,0.2771,0.02
Indigencia,sum,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,897100.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,17,0.1661,0.02
P47T_hogar,mean,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,151260.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,19,0.2319,0.02
P47T_hogar,median,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,132130.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,22,0.2353,0.02
P47T_hogar,q10,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,0.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,25,0.2019,0.02
P47T_hogar,q25,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,55060.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,27,0.2179,0.02
P47T_hogar,q75,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,219300.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,30,0.226,0.02
P47T_hogar,q90,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,305710.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,32,0.2456,0.02
Pobreza,mean,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,1.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,34,0.2029,0.02
Pobreza,sum,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,2126600.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,38,0.2202,0.02
Total,mean,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,1.0,0.02
Indigencia,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,93,0.25,0.02
Total,sum,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,2126600.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,2,14550.0,0.02
gap_indigencia,mean,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,14580.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,4,27100.0,0.02
gap_indigencia,median,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,18490.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,6,4950.0,0.02
gap_pobreza,mean,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,-172630.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,8,13000.0,0.02
gap_pobreza,median,Hp,2004-05-15,2023-10-29 01:39:58.097874,0,-139900.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,10,18150.0,0.02
CBA,mean,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,136560.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,13,26950.0,0.02
CBA,median,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,128630.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,15,6700.0,0.02
CBT,mean,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,323260.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,18,10400.0,0.02
CBT,median,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,302600.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,20,1550.0,0.02
CB_EQUIV,mean,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,3.198,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,23,17550.0,0.02
CB_EQUIV,median,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,3.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,26,3750.0,0.02
Indigencia,mean,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,0.4351,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,29,20150.0,0.02
Indigencia,sum,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,887750.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,31,1400.0,0.02
P47T_hogar,mean,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,154130.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,33,252350.0,0.02
P47T_hogar,median,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,126180.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,36,2800.0,0.02
P47T_hogar,q10,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,0.0,0.02
Indigencia,sum,Hp,2023-02-15,2023-10-29 13:15:16.885623,91,2250.0,0.02
P47T_hogar,q25,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,56350.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,0,223300.0,0.02
P47T_hogar,q75,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,237240.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,3,216780.0,0.02
P47T_hogar,q90,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,320330.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,5,215150.0,0.02
Pobreza,mean,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,1.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,7,208700.0,0.02
Pobreza,sum,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,2040150.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,9,270170.0,0.02
Total,mean,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,1.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,12,221110.0,0.02
Total,sum,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,2040150.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,14,238020.0,0.02
gap_indigencia,mean,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,17570.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,17,275760.0,0.02
gap_indigencia,median,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,17360.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,19,222850.0,0.02
gap_pobreza,mean,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,-169130.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,22,218360.0,0.02
gap_pobreza,median,Hp,2004-08-15,2023-10-29 01:41:45.143889,0,-136400.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,25,235340.0,0.02
CBA,mean,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,137930.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,27,241450.0,0.02
CBA,median,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,129200.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,30,243730.0,0.02
CBT,mean,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,326340.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,32,199630.0,0.02
CBT,median,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,303630.0,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,34,238300.0,0.02
CB_EQUIV,mean,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,3.237,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,38,238740.0,0.02
CB_EQUIV,median,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,3.02,0.02
P47T_hogar,mean,Hp,2023-02-15,2023-10-29 13:15:16.885623,93,255530.0,0.02
Indigencia,mean,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,0.4014,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,2,38970.0,0.02
Indigencia,sum,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,795700.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,4,45720.0,0.02
P47T_hogar,mean,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,160100.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,6,47170.0,0.02
P47T_hogar,median,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,133990.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,8,55060.0,0.02
P47T_hogar,q10,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,0.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,10,78150.0,0.02
P47T_hogar,q25,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,64700.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,13,61780.0,0.02
P47T_hogar,q75,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,234990.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,15,59000.0,0.02
P47T_hogar,q90,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,324510.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,18,67750.0,0.02
Pobreza,mean,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,1.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,20,0.0,0.02
Pobreza,sum,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,1982250.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,23,66210.0,0.02
Total,mean,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,1.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,26,59000.0,0.02
Total,sum,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,1982250.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,29,61460.0,0.02
gap_indigencia,mean,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,22170.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,31,86300.0,0.02
gap_indigencia,median,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,24200.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,33,61780.0,0.02
gap_pobreza,mean,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,-166240.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,36,38970.0,0.02
gap_pobreza,median,Hp,2004-11-15,2023-10-29 01:43:24.673352,0,-131600.0,0.02
P47T_hogar,q10,Hp,2023-02-15,2023-10-29 13:15:16.885623,91,22680.0,0.02
CBA,mean,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,140810.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,0,120500.0,0.02
CBA,median,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,131570.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,3,97940.0,0.02
CBT,mean,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,332660.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,5,107390.0,0.02
CBT,median,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,310090.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,7,116080.0,0.02
CB_EQUIV,mean,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,3.309,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,9,154940.0,0.02
CB_EQUIV,median,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,3.1,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,12,120850.0,0.02
Indigencia,mean,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,0.4194,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,14,126380.0,0.02
Indigencia,sum,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,735800.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,17,161940.0,0.02
P47T_hogar,mean,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,164430.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,19,124930.0,0.02
P47T_hogar,median,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,132500.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,22,117760.0,0.02
P47T_hogar,q10,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,0.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,25,135210.0,0.02
P47T_hogar,q25,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,61780.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,27,148260.0,0.02
P47T_hogar,q75,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,257660.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,30,135210.0,0.02
P47T_hogar,q90,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,339830.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,32,87290.0,0.02
Pobreza,mean,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,1.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,34,138360.0,0.02
Pobreza,sum,Hp,2005-02-15,2023-10-29 01:45:24.174990,0,1754450.0,0.02
P47T_hogar,q25,Hp,2023-02-15,2023-10-29 13:15:16.885623,38,142760.0,0.02
