observable,sintetico,base,Q,timestamp,AGLOSI,PROV,valor,frac
P47T_hogar,q25,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,289110.0,0.02
Total,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,1.0,0.02
P47T_hogar,q75,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,909430.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,3000000.0,0.02
P47T_hogar,q90,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,1492130.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,191700.0,0.02
P47T_persona,mean,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,237900.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,394500.0,0.02
P47T_persona,median,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,166350.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,346600.0,0.02
P47T_persona,q10,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,0.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,247600.0,0.02
P47T_persona,q25,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,0.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,138800.0,0.02
P47T_persona,q75,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,324390.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,1101450.0,0.02
P47T_persona,q90,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,576880.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,312250.0,0.02
Pobreza,mean,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,0.2007,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,677400.0,0.02
Pobreza,sum,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,548650.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,212400.0,0.02
Total,mean,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,1.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,1929050.0,0.02
Total,sum,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,2734300.0,0.02
Total,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,939450.0,0.02
gap_indigencia,mean,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,990070.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,0.1236,0.02
gap_indigencia,median,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,413590.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,0.362,0.02
gap_pobreza,mean,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,742430.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,0.425,0.02
gap_pobreza,median,PAGLO,2003-08-15,2023-10-29 01:35:41.382744,True,2,258380.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,0.2908,0.02
CBA,mean,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,177720.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,0.4756,0.02
CBA,median,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,114600.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,0.2759,0.02
CBT,mean,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,425360.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,0.3941,0.02
CBT,median,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,274290.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,0.3303,0.02
CB_EQUIV,mean,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,3.908,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,0.4254,0.02
CB_EQUIV,median,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,2.52,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,0.436,0.02
Indigencia,mean,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,0.0701,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,0.347,0.02
Indigencia,sum,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,191650.0,0.02
Pobreza,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,0.3963,0.02
P47T_hogar,mean,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,1108600.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,370800.0,0.02
P47T_hogar,median,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,530340.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,69400.0,0.02
P47T_hogar,q10,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,135210.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,167650.0,0.02
P47T_hogar,q25,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,289110.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,100800.0,0.02
P47T_hogar,q75,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,848160.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,117750.0,0.02
P47T_hogar,q90,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,1283970.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,38300.0,0.02
P47T_persona,mean,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,217010.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,434050.0,0.02
P47T_persona,median,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,148260.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,103150.0,0.02
P47T_persona,q10,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,0.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,288150.0,0.02
P47T_persona,q25,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,0.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,92600.0,0.02
P47T_persona,q75,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,309790.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,669400.0,0.02
P47T_persona,q90,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,538370.0,0.02
Pobreza,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,372350.0,0.02
Pobreza,mean,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,0.2007,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,0.0278,0.02
Pobreza,sum,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,548900.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,0.085,0.02
Total,mean,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,1.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,0.1035,0.02
Total,sum,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,2734300.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,0.0567,0.02
gap_indigencia,mean,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,930870.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,0.1315,0.02
gap_indigencia,median,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,408040.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,0.058,0.02
gap_pobreza,mean,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,683230.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,0.0754,0.02
gap_pobreza,median,PAGLO,2003-11-15,2023-10-29 01:36:47.944098,True,2,248130.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,0.0568,0.02
CBA,mean,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,173280.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,0.1329,0.02
CBA,median,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,114600.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,0.0751,0.02
CBT,mean,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,414730.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,0.0914,0.02
CBT,median,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,274290.0,0.02
Indigencia,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,0.1035,0.02
CB_EQUIV,mean,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,3.81,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,83350.0,0.02
CB_EQUIV,median,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,2.52,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,16300.0,0.02
Indigencia,mean,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,0.0549,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,40850.0,0.02
Indigencia,sum,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,151350.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,19650.0,0.02
P47T_hogar,mean,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,1319970.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,32550.0,0.02
P47T_hogar,median,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,550910.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,8050.0,0.02
P47T_hogar,q10,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,170230.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,83050.0,0.02
P47T_hogar,q25,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,302730.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,17750.0,0.02
P47T_hogar,q75,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,906660.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,90000.0,0.02
P47T_hogar,q90,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,1537730.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,15950.0,0.02
P47T_persona,mean,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,236620.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,176350.0,0.02
P47T_persona,median,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,178250.0,0.02
Indigencia,sum,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,97200.0,0.02
P47T_persona,q10,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,0.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,232780.0,0.02
P47T_persona,q25,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,0.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,110390.0,0.02
P47T_persona,q75,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,324390.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,106400.0,0.02
P47T_persona,q90,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,550910.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,195400.0,0.02
Pobreza,mean,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,0.1722,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,96160.0,0.02
Pobreza,sum,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,474700.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,160890.0,0.02
Total,mean,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,1.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,126430.0,0.02
Total,sum,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,2757200.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,169570.0,0.02
gap_indigencia,mean,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,1146690.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,105910.0,0.02
gap_indigencia,median,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,434990.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,117860.0,0.02
gap_pobreza,mean,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,905240.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,148740.0,0.02
gap_pobreza,median,PAGLO,2004-02-15,2023-10-29 01:37:59.322424,True,2,277930.0,0.02
P47T_persona,mean,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,109440.0,0.02
CBA,mean,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,173280.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,0.0,0.02
CBA,median,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,114600.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,0.0,0.02
CBT,mean,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,414730.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,0.0,0.02
CBT,median,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,274290.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,0.0,0.02
CB_EQUIV,mean,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,3.81,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,0.0,0.02
CB_EQUIV,median,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,2.52,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,0.0,0.02
Indigencia,mean,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,0.0579,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,0.0,0.02
Indigencia,sum,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,159700.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,0.0,0.02
P47T_hogar,mean,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,972530.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,0.0,0.02
P47T_hogar,median,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,498220.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,0.0,0.02
P47T_hogar,q10,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,155140.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,0.0,0.02
P47T_hogar,q25,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,276090.0,0.02
P47T_persona,q10,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,0.0,0.02
P47T_hogar,q75,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,808180.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,0.0,0.02
P47T_hogar,q90,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,1268410.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,0.0,0.02
P47T_persona,mean,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,206810.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,0.0,0.02
P47T_persona,median,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,158860.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,0.0,0.02
P47T_persona,q10,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,0.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,0.0,0.02
P47T_persona,q25,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,0.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,0.0,0.02
P47T_persona,q75,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,295840.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,0.0,0.02
P47T_persona,q90,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,479820.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,0.0,0.02
Pobreza,mean,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,0.1969,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,0.0,0.02
Pobreza,sum,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,542850.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,0.0,0.02
Total,mean,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,1.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,0.0,0.02
Total,sum,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,2757200.0,0.02
P47T_persona,q25,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,0.0,0.02
gap_indigencia,mean,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,799250.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,195450.0,0.02
gap_indigencia,median,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,381800.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,77790.0,0.02
gap_pobreza,mean,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,557800.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,77790.0,0.02
gap_pobreza,median,PAGLO,2004-05-15,2023-10-29 01:39:22.930107,True,2,226190.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,126180.0,0.02
CBA,mean,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,173280.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,66210.0,0.02
CBA,median,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,114600.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,123310.0,0.02
CBT,mean,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,414730.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,95710.0,0.02
CBT,median,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,274290.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,112460.0,0.02
CB_EQUIV,mean,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,3.81,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,67750.0,0.02
CB_EQUIV,median,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,2.52,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,85300.0,0.02
Indigencia,mean,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,0.0586,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,112460.0,0.02
Indigencia,sum,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,161600.0,0.02
P47T_persona,median,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,69330.0,0.02
P47T_hogar,mean,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,1167320.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,347590.0,0.02
P47T_hogar,median,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,598960.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,186650.0,0.02
P47T_hogar,q10,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,169190.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,174190.0,0.02
P47T_hogar,q25,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,321470.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,317000.0,0.02
P47T_hogar,q75,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,937460.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,34,155240.0,0.02
P47T_hogar,q90,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,1319580.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,42,263670.0,0.02
P47T_persona,mean,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,240720.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,50,209430.0,0.02
P47T_persona,median,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,170230.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,58,289110.0,0.02
P47T_persona,q10,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,0.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,66,174190.0,0.02
P47T_persona,q25,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,0.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,74,200000.0,0.02
P47T_persona,q75,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,381130.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,82,246070.0,0.02
P47T_persona,q90,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,647270.0,0.02
P47T_persona,q75,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,90,178250.0,0.02
Pobreza,mean,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,0.1762,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,2,491000.0,0.02
Pobreza,sum,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,485700.0,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,10,257660.0,0.02
Total,mean,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,1.0,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,18,269810.0,0.02
Total,sum,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,2757200.0,0.02
P47T_persona,q90,PAGLO,2023-02-15,2023-10-29 13:09:37.066950,True,26,491000.0,0.02
gap_indigencia,mean,PAGLO,2004-08-15,2023-10-29 01:41:07.049235,True,2,994040.0,0.02
